,client_id,gender,age,age_group,lor,frequency_eng,num_orders_1996,total_order_amount_1996,has_insurance_order_1996,has_household_order_1996,has_leasing_order_1996,has_loan_repayment_order_1996,total_credit,total_withdrawal,total_transactions,balance_mean,balance_std,credit_card_withdraw_count,cash_deposit_count,interbank_in_count,interbank_out_count,cash_withdrawal_count,insurance_payment_count,services_payment_count,interest_credit_count,sanction_interest_count,household_payment_count,pension_credit_count,loan_payment_count,frequency,monetary,recency,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,loan_1997,card_1997,credit_to_withdrawal_ratio,net_cash_flow,net_cash_flow_ratio,credit_to_balance_ratio,withdrawal_to_balance_ratio,loan_to_credit_ratio,interbank_ratio,withdrawal_std_ratio,credit_std_ratio,insurance_ratio,loan_ratio,household_ratio,is_active_customer,relies_on_credit,sanction_interest_ratio,volatility_index
0,1,F,29,20,1,MONTHLY,1,2452.0,0,1,0,0,50066.0,55579.2,74,15980.927027027028,2172.1060615327237,0,5,12,33,12,0,12,12,0,12,0,0,74,105645.2,0,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,0,0,0.9008046175547687,-5513.199999999997,-74.50270270270266,3.1328595591061843,3.4778458036886195,0.0,0.6081081081081081,0.039081276116473856,0.04338485322439827,0.0,0.0,0.16216216216216217,0,0,0.0,0.13591865214447488
1,2,M,54,50,3,MONTHLY,2,10638.7,0,1,0,1,288542.9,274574.2,85,36604.40235294118,11764.815403323595,0,5,12,44,12,0,12,12,0,12,0,0,85,563117.1,0,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,0,0,1.0508740442474203,13968.700000000012,164.33764705882368,7.882737634065359,7.501125065573919,0.0,0.6588235294117647,0.04284749041724822,0.04077319318314051,0.0,0.0,0.1411764705882353,0,1,0.0,0.32140438436575886
2,8,F,61,60,2,MONTHLY,1,3954.0,0,1,0,0,81507.7,81803.2,63,30651.373015873014,4377.6510640357865,0,0,12,27,12,0,12,12,0,12,12,0,63,163310.9,0,Trutnov,east Bohemia,121947,37,28,7,3,11,70.5,8541,2.51,2.97,131,3496.0,3839,0,0,0.9963876718759168,-295.5,-4.690476190476191,2.6591859346004076,2.668826612029343,0.0,0.6190476190476191,0.05351442320148584,0.053708435694244674,0.0,0.0,0.19047619047619047,0,0,0.0,0.14282071676752592
3,10,M,56,50,1,MONTHLY,2,9324.0,0,1,0,0,268773.2,274432.6,75,51659.79066666667,9428.253022771403,0,12,0,30,21,0,11,12,0,11,0,0,75,543205.8,0,Hodonin,south Moravia,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3729.0,3651,0,0,0.9793778144433279,-5659.399999999965,-75.4586666666662,5.202754338170889,5.312305691882658,0.0,0.4,0.03435544109107812,0.035078843511077006,0.0,0.0,0.14666666666666667,0,0,0.0,0.18250660525527365
4,12,M,18,10,3,MONTHLY,0,0.0,0,0,0,0,28722.2,74625.2,66,32454.586363636365,11276.965266375604,0,16,0,38,0,0,12,12,0,0,0,0,66,103347.4,0,Karvina,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878.0,10108,0,0,0.38488607065709707,-45903.0,-695.5,0.8849966435616538,2.2993730119948026,0.0,0.5757575757575758,0.15111470744970337,0.39262191845943567,0.0,0.0,0.0,0,0,0.0,0.3474690800253379
5,14,F,57,50,1,MONTHLY,1,2132.0,0,1,0,0,42935.9,24872.6,49,22850.185714285715,4656.36559006414,0,0,12,14,11,0,11,12,0,0,0,0,49,67808.5,0,Sumperk,north Moravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736.0,2807,0,0,1.726232882770599,18063.300000000003,368.63877551020414,1.8790175509670757,1.0885075644899416,0.0,0.5306122448979592,0.187208638826023,0.10844923688717692,0.0,0.0,0.0,0,1,0.0,0.20377801949999141
6,20,M,20,20,3,MONTHLY,1,3072.0,0,1,0,0,223791.7,233379.2,74,39431.26081081081,9312.310193352147,0,12,0,38,12,0,12,12,0,12,0,0,74,457170.9,0,Karvina,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878.0,10108,0,0,0.9589187896779148,-9587.5,-129.5608108108108,5.6754893299948295,5.918633977232977,0.0,0.5135135135135135,0.039902057224260545,0.041611508350632063,0.0,0.0,0.16216216216216217,0,0,0.0,0.236165671649003
7,24,F,60,60,3,WEEKLY,0,0.0,0,0,0,0,238878.2,245716.0,63,29799.51746031746,13199.741721184568,0,17,0,34,0,0,12,12,0,0,0,0,63,484594.2,0,Hradec Kralove,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,4085.0,3891,0,0,0.972171938335314,-6837.799999999988,-108.53650793650775,8.016176782664425,8.245636874060388,0.0,0.5396825396825397,0.05371950431060479,0.055257205225025,0.0,0.0,0.0,0,0,0.0,0.44295152559976886
8,25,F,60,60,1,MONTHLY,1,2523.2,0,0,0,1,220613.9,227479.1,90,20349.385555555556,8409.095283466482,0,10,12,39,5,0,12,24,2,12,0,5,90,448093.0,0,Tabor,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299.0,2354,0,0,0.9698205241712315,-6865.200000000012,-76.28000000000013,10.841305227507005,11.178671679248628,2.2664029782348258e-05,0.5666666666666667,0.03696645222996962,0.038116797189417725,0.0,0.05555555555555555,0.13333333333333333,0,0,0.022222222222222223,0.41323583262545865
9,28,M,54,50,2,MONTHLY,1,6352.0,0,1,0,0,228568.0,201599.2,68,43384.004411764705,10526.12714087195,0,14,0,30,12,0,12,12,0,12,0,0,68,430167.2,0,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,0,0,1.1337743403743665,26968.79999999999,396.59999999999985,5.2684855420588566,4.646855511229183,0.0,0.4411764705882353,0.05221313944138642,0.04605249702877021,0.0,0.0,0.17647058823529413,0,1,0.0,0.2426269147717843
